8:25:28,1029
8:25:58,1026
8:26:28,1081
8:26:58,1089
8:27:28,1088
8:27:58,1080
8:28:28,1079
8:28:58,1074
8:29:28,1068
8:29:58,1065
8:30:28,1064
8:30:59,1041
8:31:29,1009
8:31:59,1020
8:32:29,1020
8:32:59,1013
8:33:29,1025
8:33:59,1042
8:34:58,1048
8:35:28,1057
8:35:58,1061
8:36:28,1058
8:36:58,1051
8:37:28,1051
8:37:58,1050
8:38:28,1051
8:38:58,1042
8:39:28,1005
8:39:58,1006
8:40:28,1010
8:40:58,1007
8:41:28,1006
8:41:58,1010
8:42:28,1015
8:42:58,1015
8:43:28,1017
8:43:59,1021
8:44:29,1024
8:44:59,1026
8:45:29,1030
8:45:59,1040
8:46:29,1044
8:46:59,1044
8:47:29,1049
8:47:59,1048
8:48:29,1046
8:48:59,1044
8:49:29,1042
8:49:59,1028
8:50:29,998
8:50:59,1023
8:51:29,1034
8:51:59,1034
8:52:30,1037
8:53:00,1040
8:53:30,1039
8:54:00,1044
8:54:30,1048
8:55:00,1052
8:55:30,1055
